brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
2020 Tata Harrier XZ,47K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹15.62 Lakh
2020 Hyundai Venue SX 1.0 Turbo,30K km, · Petrol, · Manual,,"Mileage (ARAI)
18.27 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",₹9.50 Lakh
2021 Renault Kiger RXZ 1.0 Turbo MT,21K km, · Petrol, · Manual,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹8.65 Lakh
2020 Renault Kwid CLIMBER 1.0 Opt,8K km, · Petrol, · Manual,,"Mileage (ARAI)
22 kmpl
Ground clearance
184 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",₹4.94 Lakh
2021 Nissan Magnite XV Turbo,17K km, · Petrol, · Manual,,"Mileage (ARAI)
20 kmpl
Ground clearance
205 mm
Boot space
336 litres
Fuel tank capacity
40 litres
Displacement
999 cc
VIEW ALL SPECIFICATIONS",₹7.57 Lakh
2019 Ford Figo Aspire Titanium Plus 1.5 TDCi,35K km, · Diesel, · Manual,"Ground clearance
174 mm
Boot space
359 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
1499 cc
VIEW ALL SPECIFICATIONS",,₹7.25 Lakh
2012 Maruti Suzuki Alto K10 VXI,53K km, · Petrol, · Manual,"Mileage (ARAI)
20.92 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
VIEW ALL SPECIFICATIONS",,₹2.49 Lakh
2020 Tata Harrier XZ Plus Dual Tone,54K km, · Diesel, · Manual,"Mileage (ARAI)
16.3 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
168 bhp
VIEW ALL SPECIFICATIONS",,₹16.73 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi AMT,34K km, · Diesel, · Automatic,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",₹9.84 Lakh
2017 Honda City VX Diesel,63K km, · Diesel, · Manual,"Mileage (ARAI)
24 kmpl
Ground clearance
165 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",,₹9.42 Lakh
2013 Hyundai i20 Sportz 1.2,77K km, · Petrol, · Manual,,"Mileage (ARAI)
18.15 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
83 bhp
VIEW ALL SPECIFICATIONS",₹4.46 Lakh
2015 Honda Amaze 1.5 VX i-DTEC,63K km, · Diesel, · Manual,"Mileage (ARAI)
25.8 kmpl
Ground clearance
165 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1498 cc
VIEW ALL SPECIFICATIONS",,₹5.43 Lakh
2020 Hyundai Creta S Diesel,55K km, · Diesel, · Manual,,"Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
113.42 bhp
Max torque
250.06 nm
VIEW ALL SPECIFICATIONS",₹13.31 Lakh
2019 Mahindra Marazzo M2 8str,49K km, · Diesel, · Manual,,"Mileage (ARAI)
17.3 kmpl
Ground clearance
200 mm
Boot space
190 litres
Seating capacity
8 units
Fuel tank capacity
45 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹9.55 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi,40K km, · Diesel, · Manual,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",,₹9.57 Lakh
2020 Kia Sonet GTX Plus 1.0 iMT,8K km, · Petrol, · Manual,"Mileage (ARAI)
18.2 kmpl
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹11.46 Lakh
2021 Tata Punch Creative iRA Pack AMT Dual Tone,22K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
187 mm
Boot space
366 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
84 bhp
VIEW ALL SPECIFICATIONS",₹9.81 Lakh
2019 Mahindra XUV 300 W8 Diesel,83K km, · Diesel, · Manual,,"Mileage (ARAI)
20 kmpl
Ground clearance
180 mm
Boot space
259 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
115 bhp
VIEW ALL SPECIFICATIONS",₹9.56 Lakh
2020 Toyota Glanza V,11K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
Max torque
113 nm
VIEW ALL SPECIFICATIONS",₹8.09 Lakh
2017 Maruti Suzuki S-Cross Alpha 1.3,56K km, · Diesel, · Manual,,"Mileage (ARAI)
25.1 kmpl
Ground clearance
180 mm
Boot space
353 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1248 cc
VIEW ALL SPECIFICATIONS",₹8.20 Lakh
2010 Nissan Micra XV Petrol,38K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
154 mm
Boot space
251 litres
Seating capacity
5 units
Fuel tank capacity
41 litres
Max power
75 bhp
VIEW ALL SPECIFICATIONS",₹3.25 Lakh
2015 Maruti Suzuki S-Cross Zeta 1.6,91K km, · Diesel, · Manual,,"Mileage (ARAI)
25.1 kmpl
Ground clearance
180 mm
Boot space
353 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1598 cc
VIEW ALL SPECIFICATIONS",₹7.30 Lakh
2019 Volkswagen Ameo 1.0 Highline Plus Petrol,63K km, · Petrol, · Manual,"Mileage (ARAI)
19.44 kmpl
Ground clearance
165 mm
Boot space
330 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
999 cc
VIEW ALL SPECIFICATIONS",,₹6.48 Lakh
2013 Maruti Suzuki Wagon R 1.0 LXI,58K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Boot space
180 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
VIEW ALL SPECIFICATIONS",₹3.01 Lakh
2016 Hyundai Grand i10 Asta 1.2 Kappa VTVT,100K km, · Petrol, · Manual,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",,₹4.94 Lakh
2018 Hyundai Verna 1.6 CRDI SX + AT,61K km, · Diesel, · Automatic,"Mileage (ARAI)
22 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹10.08 Lakh
2021 Nissan Magnite XV Premium Turbo CVT,16K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.7 kmpl
Ground clearance
205 mm
Boot space
336 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹10.33 Lakh
2018 Toyota Yaris G,56K km, · Petrol, · Manual,"Mileage (ARAI)
17.18 kmpl
Ground clearance
165 mm
Boot space
476 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Displacement
1496 cc
VIEW ALL SPECIFICATIONS",,₹7.38 Lakh
2019 Hyundai Verna 1.6 VTVT SX,50K km, · Petrol, · Manual,"Mileage (ARAI)
17.4 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",,₹9.02 Lakh
2020 Tata Harrier XZ,32K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹17.42 Lakh
2019 Maruti Suzuki Baleno Alpha Petrol,18K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.85 Lakh
2020 Maruti Suzuki S-Cross Alpha 1.5 AT,49K km, · Petrol, · Automatic,"Mileage (ARAI)
18.43 kmpl
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1462 cc
VIEW ALL SPECIFICATIONS",,₹11.36 Lakh
2016 Maruti Suzuki Vitara Brezza ZDi Plus,53K km, · Diesel, · Manual,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",,₹8.62 Lakh
2018 Mahindra Scorpio S3,51K km, · Diesel, · Manual,"Mileage (ARAI)
16.36 kmpl
Ground clearance
180 mm
Boot space
460 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
75 bhp
VIEW ALL SPECIFICATIONS",,₹9.55 Lakh
2020 Toyota Yaris G CVT,23K km, · Petrol, · Automatic,,"Boot space
476 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Displacement
1496 cc
VIEW ALL SPECIFICATIONS",₹10.40 Lakh
2021 Volkswagen Taigun Highline 1.0 TSI AT,6K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.2 kmpl
Ground clearance
188 mm
Seating capacity
5 units
Max power
114 bhp
Max torque
178 nm
Displacement
999 cc
VIEW ALL SPECIFICATIONS",₹14.90 Lakh
2019 Maruti Suzuki Baleno Alpha AT Petrol,22K km, · Petrol, · Automatic,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹8.59 Lakh
2019 Hyundai Venue SX 1.4 CRDI,24K km, · Diesel, · Manual,"Mileage (ARAI)
23.7 kmpl
Ground clearance
190 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
98.6 bhp
VIEW ALL SPECIFICATIONS",,₹10.13 Lakh
2018 Tata Zest XT Diesel,30K km, · Diesel, · Manual,"Mileage (ARAI)
23 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",,₹6.73 Lakh
2017 Hyundai i20 Active 1.4 SX,27K km, · Diesel, · Manual,"Mileage (ARAI)
21.19 kmpl
Ground clearance
190 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",,₹8.25 Lakh
2018 Tata Nexon XZ Plus Diesel,91K km, · Diesel, · Manual,"Mileage (ARAI)
21.05 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
108.5 bhp
VIEW ALL SPECIFICATIONS",,₹7.86 Lakh
2014 Maruti Suzuki Swift Dzire ZDI,75K km, · Diesel, · Manual,"Mileage (ARAI)
23.4 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.95 Lakh
2021 Tata Nexon XZ Plus Petrol,18K km, · Petrol, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Displacement
1199 cc
VIEW ALL SPECIFICATIONS",,₹10.38 Lakh
2020 Kia Seltos GTX Plus AT D,47K km, · Diesel, · Automatic,"Mileage (ARAI)
17.8 kmpl
Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1493 cc
VIEW ALL SPECIFICATIONS",,₹17.62 Lakh
2019 Mahindra XUV 300 W8 (O) Dual Tone Diesel,52K km, · Diesel, · Manual,"Mileage (ARAI)
20 kmpl
Ground clearance
180 mm
Boot space
259 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",,₹11.34 Lakh
2020 Maruti Suzuki Vitara Brezza ZXI Plus,85K km, · Petrol, · Manual,,"Mileage (ARAI)
17.03 kmpl
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
103.26 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",₹8.70 Lakh
2021 Hyundai Venue SX 1.0 (O) Turbo,13K km, · Petrol, · Manual,,"Mileage (ARAI)
18.27 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",₹10.38 Lakh
2019 Hyundai Verna 1.6 VTVT SX + AT,31K km, · Petrol, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
165 mm
Boot space
465 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Displacement
1591 cc
VIEW ALL SPECIFICATIONS",,₹11.17 Lakh
2019 Tata Nexon XZ Plus Diesel,17K km, · Diesel, · Manual,"Mileage (ARAI)
21.05 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
108.5 bhp
VIEW ALL SPECIFICATIONS",,₹9.71 Lakh
2020 Mahindra XUV 300 W8 AMT (O) Diesel,37K km, · Diesel, · Automatic,"Mileage (ARAI)
20 kmpl
Ground clearance
180 mm
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
115 bhp
Max torque
300 nm
VIEW ALL SPECIFICATIONS",,₹13.05 Lakh
2021 Nissan Kicks XV Petrol,17K km, · Petrol, · Manual,"Mileage (ARAI)
13.9 kmpl
Ground clearance
210 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
105 bhp
VIEW ALL SPECIFICATIONS",,₹8.66 Lakh
2019 Tata Nexon XZ Plus Dual Tone roof Petrol,31K km, · Petrol, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Displacement
1198 cc
VIEW ALL SPECIFICATIONS",,₹8.65 Lakh
2019 MG Motors Hector 2.0 Sharp,53K km, · Diesel, · Manual,"Mileage (ARAI)
17.41 kmpl
Ground clearance
183 mm
Boot space
587 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
167.68 bhp
VIEW ALL SPECIFICATIONS",,₹16.17 Lakh
2021 Renault Kiger RXT (O) AMT Dual Tone,6K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.1 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
71 bhp
VIEW ALL SPECIFICATIONS",₹8.19 Lakh
2022 Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),11K km, · Petrol, · Automatic,"Mileage (ARAI)
17.7 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
148 bhp
VIEW ALL SPECIFICATIONS",,₹18.12 Lakh
2015 Chevrolet Beat PS Petrol,47K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
79 bhp
Max torque
108 nm
VIEW ALL SPECIFICATIONS",,₹3.10 Lakh
2021 Tata Harrier XZA,39K km, · Diesel, · Automatic,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",₹20.06 Lakh
2015 Hyundai Creta 1.6 SX,78K km, · Diesel, · Manual,"Mileage (ARAI)
19.67 kmpl
Ground clearance
190 mm
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
Max torque
265 nm
VIEW ALL SPECIFICATIONS",,₹9.90 Lakh
2020 MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,30K km, · Diesel, · Manual,"Mileage (ARAI)
16.65 kmpl
Ground clearance
192 mm
Boot space
155 litres
Seating capacity
6 units
Fuel tank capacity
60 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",,₹18.29 Lakh
2014 Maruti Suzuki Swift VDI RS Limited Edition,86K km, · Diesel, · Manual,,"Mileage (ARAI)
22.9 kmpl
Ground clearance
170 mm
Boot space
232 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Displacement
1248 cc
VIEW ALL SPECIFICATIONS",₹5.10 Lakh
2021 Maruti Suzuki S-Cross Zeta 1.5 AT,14K km, · Petrol, · Automatic,"Mileage (ARAI)
18.43 kmpl
Ground clearance
180 mm
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1462 cc
VIEW ALL SPECIFICATIONS",,₹11.09 Lakh
2018 Maruti Suzuki Baleno Alpha AT Petrol,45K km, · Petrol, · Automatic,"Mileage (ARAI)
19.56 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.17 Lakh
2021 Skoda Kushaq Style 1.0L TSI AT,19K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹15.54 Lakh
2021 Tata Punch Creative iRA Pack AMT Dual Tone,10K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
187 mm
Boot space
366 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
84 bhp
VIEW ALL SPECIFICATIONS",₹9.29 Lakh
2020 Tata Harrier XZ Plus Dark Edition,47K km, · Diesel, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",,₹19.67 Lakh
2017 Tata Nexon XZ Plus Diesel,60K km, · Diesel, · Manual,"Mileage (ARAI)
21.05 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
108.5 bhp
VIEW ALL SPECIFICATIONS",,₹8.48 Lakh
2019 Maruti Suzuki Baleno Zeta Petrol,36K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹7.36 Lakh
2020 MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,52K km, · Diesel, · Manual,"Mileage (ARAI)
16.65 kmpl
Ground clearance
192 mm
Boot space
155 litres
Seating capacity
6 units
Fuel tank capacity
60 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",,₹16.85 Lakh
2019 Mahindra XUV 300 W8 (O) Dual Tone Petrol,26K km, · Petrol, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
180 mm
Boot space
259 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
109 bhp
VIEW ALL SPECIFICATIONS",,₹11.65 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi Plus,56K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",₹10.12 Lakh
2018 Mahindra TUV300 T10,53K km, · Diesel, · Manual,"Mileage (ARAI)
18.49 kmpl
Ground clearance
184 mm
Boot space
384 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
84 bhp
VIEW ALL SPECIFICATIONS",,₹8.55 Lakh
2022 Maruti Suzuki Swift ZXI Plus,23K km, · Petrol, · Manual,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹8.18 Lakh
2021 Tata Harrier XZ Plus Dual Tone,29K km, · Diesel, · Manual,"Mileage (ARAI)
16.3 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
168 bhp
VIEW ALL SPECIFICATIONS",,₹18.98 Lakh
2021 Nissan Magnite XV Premium,14K km, · Petrol, · Manual,,"Mileage (ARAI)
18.75 kmpl
Ground clearance
205 mm
Boot space
336 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
999 cc
VIEW ALL SPECIFICATIONS",₹7.92 Lakh
2018 Maruti Suzuki Vitara Brezza ZDI PLUS Dual Tone,67K km, · Diesel, · Manual,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",,₹9.90 Lakh
2020 Honda Jazz VX CVT,19K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.1 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51110 bhp
VIEW ALL SPECIFICATIONS",₹9.15 Lakh
2020 Mahindra Thar LX 4 STR Convertible Diesel MT,39K km, · Diesel, · Manual,,"Mileage (ARAI)
15.2 kmpl
Ground clearance
226 mm
Seating capacity
4 units
Fuel tank capacity
57 litres
Max power
130 bhp
Max torque
300 nm
VIEW ALL SPECIFICATIONS",₹14.74 Lakh
2022 Maruti Suzuki Ignis Alpha MT Petrol,5K km, · Petrol, · Manual,"Mileage (ARAI)
20.89 kmpl
Ground clearance
180 mm
Boot space
260 litres
Seating capacity
5 units
Fuel tank capacity
32 litres
Displacement
1197 cc
VIEW ALL SPECIFICATIONS",,₹7.40 Lakh
2019 Hyundai Grand i10 Asta 1.2 Kappa VTVT,16K km, · Petrol, · Manual,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",,₹6.56 Lakh
2015 Hyundai Creta 1.6 SX Plus Auto,108K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹10.22 Lakh
2015 Hyundai Creta 1.6 SX Plus Auto,82K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹10.35 Lakh
2019 Hyundai Verna 1.6 VTVT SX,20K km, · Petrol, · Manual,"Mileage (ARAI)
17.4 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",,₹9.56 Lakh
2022 Volkswagen Virtus Comfortline 1.0 TSI MT,4K km, · Petrol, · Manual,"Mileage (ARAI)
19.4 kmpl
Ground clearance
179 mm
Boot space
521 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",,₹11.92 Lakh
2019 Toyota Glanza V,10K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
Max torque
113 nm
VIEW ALL SPECIFICATIONS",,₹7.99 Lakh
2018 Hyundai Creta 1.6 SX AT,72K km, · Diesel, · Automatic,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
121.3 bhp
VIEW ALL SPECIFICATIONS",,₹13.61 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi Plus,31K km, · Diesel, · Manual,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",,₹10.79 Lakh
2017 Mahindra Scorpio S4 Plus,53K km, · Diesel, · Manual,"Mileage (ARAI)
15.4 kmpl
Ground clearance
180 mm
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
120 bhp
Max torque
280 nm
VIEW ALL SPECIFICATIONS",,₹11.10 Lakh
2021 Renault Duster RXZ Petrol,26K km, · Petrol, · Manual,"Mileage (ARAI)
16.42 kmpl
Ground clearance
205 mm
Boot space
475 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1498 cc
VIEW ALL SPECIFICATIONS",,₹10 Lakh
2017 Mahindra Scorpio S4 Plus,53K km, · Diesel, · Manual,"Mileage (ARAI)
15.4 kmpl
Ground clearance
180 mm
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
120 bhp
Max torque
280 nm
VIEW ALL SPECIFICATIONS",,₹11.10 Lakh
2021 Renault Duster RXZ Petrol,26K km, · Petrol, · Manual,"Mileage (ARAI)
16.42 kmpl
Ground clearance
205 mm
Boot space
475 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1498 cc
VIEW ALL SPECIFICATIONS",,₹10 Lakh
2021 Tata Safari XZA Plus,26K km, · Diesel, · Automatic,,"Seating capacity
7 units
Fuel tank capacity
50 litres
Max power
167.67 bhp
Max torque
350 nm
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",₹21.80 Lakh
2021 Hyundai Alcazar Platinum 7 STR 2.0 Petrol MT,44K km, · Petrol, · Manual,"Mileage (ARAI)
14.5 kmpl
Ground clearance
200 mm
Boot space
180 litres
Seating capacity
7 units
Fuel tank capacity
50 litres
Max power
157 bhp
VIEW ALL SPECIFICATIONS",,₹16.72 Lakh
2021 Mahindra Thar LX 4 STR Convertible Diesel AT,7K km, · Diesel, · Automatic,,"Mileage (ARAI)
15 kmpl
Ground clearance
226 mm
Seating capacity
4 units
Fuel tank capacity
57 litres
Max power
130 bhp
Max torque
300 nm
VIEW ALL SPECIFICATIONS",₹16.93 Lakh
2020 Hyundai Venue SX 1.0 (O) Turbo,36K km, · Petrol, · Manual,,"Mileage (ARAI)
18.27 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",₹11.01 Lakh
